variable name,variable definition,Notes,branching logic dependency (Y/N)
record_ID,Record ID NCIPR2,,N
which_NCIPR,which_NCIPR,"(1) NCIPR wave 1 February 23, 2021; (2) NCIPR wave 2 March 31, 2021",N
complete_binary,complete_binary,(0) incomplete; (1) complete,N
why_incomplete,why_incomplete,(1) complete; (2) survey administration error; (3) incomplete survey,N
covid_self_report,participant belief about having had COVID,(0) report no prior illness; (1) confirm prior illness,N
DOB_age_out_of_range,DOB provided <18 or >100,(0) DOB age 18-100; (1) DOB age <18 or age >100,N
COVID_date_out_of_range,COVID_date_out_of_range,(0) Feb 2020 - March 2021; (1) date not provided or out of range,N
quality_check_flag,quality_check_flag,"(0) none; (1) ≥1 implausible response (e.g., 6’20” tall); (2) ≥1 inconsistent response (What is your current age? [db_52] ≠ reported date of birth); (3) inconclusive (e.g., age or DOB response not provided)",N
data_correction,N = 7 data flag removed; raw data unchanged,(0) no correction; (1) typo in age or height; original data unchanged but [quality_check_flag] changed to '0',N
excluded_sample,"N = 1,590 Sample used in Demographic Analysis","(0) included (n=1,590); exclusions filtered in the following order: (1) incomplete; (2) survey admin error; (3) [covid_self_report] = '0'; (4) DOB provided out of range; (5) [quality_check_flag] = '1' or '2'; (6) COVID date inconclusive",N
age_calculated,Participant reported date of birth [db_2] converted to age in years,Participant reported date of birth [db_2] converted to age in years; if older than 89; edited to de-identify,N
ncipr_date,Today's Date,removed (indirect identifier),N
ncipr_gender,What is your gender? (mark all that apply),,N
ncipr_gender_selfdescribe,Option to self-describe:,,Y
ncipr_infected_covid,Do you believe that you have been personally infected with COVID? This includes presumed positive regardless of whether you had testing done,,N
ncipr_infected_caught_covid,How do you think you caught COVID?,,Y
ncipr_infected_inperson_covid,What led to person-to-person contact?,,Y
ncipr_current_covid_status,Are you currently COVID positive?,,N
ncipr_test_any,Have you been tested for COVID (antibodies or active illness)?,,Y
ncipr_test_pos_pcr,Have you had a positive COVID PCR test (throat or nose swab)?,,Y
ncipr_test_frequency_pcr,Number of times you have had a positive COVID PCR test,,Y
ncipr_test_pcr_date1,When did you receive your first test?,,Y
ncipr_test_pcr_locat1,Where did you receive your throat/nose swab COVID test?,,Y
ncipr_test_pcrlocat_other1,Other:,,Y
ncipr_test_pcr_symp1,Did you have symptoms when you received your throat/nose swab?,,Y
ncipr_test_pcr_date2,When did you receive your second test?,,Y
ncipr_test_pcr_locat2,Where did you receive your throat/nose swab COVID test?,,Y
ncipr_test_pcrlocat_other2,Other:,,Y
ncipr_test_pcr_symp2,Did you have symptoms when you received your throat/nose swab?,,Y
ncipr_test_pcr_date3,When did you receive your third test?,,Y
ncipr_test_pcr_locat3,Where did you receive your throat/nose swab COVID test?,,Y
ncipr_test_pcrlocat_other3,Other:,,Y
ncipr_test_pcr_symp3,Did you have symptoms when you received your throat/nose swab?,,Y
ncipr_test_antib, Have you had a blood test for COVID antibodies?,,Y
ncipr_test_antib_pos,Have you tested positive for COVID antibodies?,,Y
ncipr_test_antib_date, Date of most recent test,changed to Mar-21 format,Y
ncipr_test_antib_locat,Where did you receive your blood antibody COVID test(s)?,,Y
ncipr_test_antibiocat_other,Other:,,Y
ncipr_test_antib_symp,Did you have symptoms when you were tested for antibodies?,,Y
ncipr_test_reason,Why were you tested?,,Y
ncipr_test_reason_other,Other,,Y
ncipr_test_reason_health,Which pre-existing health conditions apply to you?,,Y
ncipr_test_job_mandatory,Did your employer make testing mandatory?,,Y
ncipr_test_job_reason,Why was it helpful for your job to be tested?,,Y
ncipr_testjobreason_other,Please specify other:,,Y
ncipr_repeat_illness,Were you ill with COVID symptoms more than once?,,Y
ncipr_pregnant_any,Did you have COVID while you were pregnant?,,Y
ncipr_pregnant_trimester,Which trimester were you in?,,Y
ncipr_onset_date,When did you first become ill with COVID?,,Y
ncipr_illness_length,How long were you ill with COVID-19 (in days),,Y
ncipr_symptoms_all,What symptoms did you experience while you were ill with COVID? (check all),,Y
ncipr_fever_level,Was your fever ever greater than  103.0 F/39.4 C?,,Y
ncipr_symptoms_all_01_days2,How long did you experience Fever?,,Y
ncipr_symptoms_all_other_d,Please specify other:,,Y
ncipr_cough_type,Please describe your type of cough,,Y
ncipr_cough_type_other,Specify other cough:,,Y
ncipr_symptoms_med_complicat,Which medical complications did you experience?,,Y
ncipr_max_temp,Maximum temperature recorded (Please be sure to indicate temperature scale i.e. F or C):,,Y
ncipr_min_osat,"Lowest oxygen saturation recorded (if you don't know, please enter 'N/A')",,Y
ncipr_symptom_worst,What was the most concerning COVID symptom or medical complication that you experienced?,,Y
ncipr_symptom_worst_other,Please specify other:,,Y
ncipr_symptoms_events,Did you experience the following? (check all),,Y
ncipr_symptom_event_other,Please specify other:,,Y
ncipr_how_severe_self,How severe was your COVID illness?,,Y
ncipr_onset_symptoms,What symptoms led you to seek medical attention? (check all),,Y
ncipr_onset_symptoms_other,Please specify other:,,Y
ncipr_onset_provider,"When you realized you were sick, where did you initially go for medical assistance?",,Y
ncipr_onset_provider_other,Please specify Other:,,Y
ncipr_onset_call_911,Did you ever call 911 with concerns about your COVID illness?,,Y
ncipr_calls_911,How many times?,,Y
ncipr_employ,What was your employment status at the time that you developed COVID illness?,,Y
ncipr_employ_time_off,Did you take time off of work as a result of your COVID illness?,,Y
ncipr_employ_time_off_days,How many days taken off work?,,Y
ncipr_employ_income_loss,Did you lose income when you were not able to work?,,Y
ncipr_treat_home,Which of the following at home treatments did you use? (check all),,Y
ncipr_treat_home_other,Please specify other:,,Y
ncipr_treat_hospital,Were you admitted to the hospital as a result of your COVID illness?,,Y
ncipr_treat_hospital_days,How long were you hospitalized (days)?,,Y
ncipr_treat_med_therapy,Which medical treatments did you receive? (check all),,Y
ncipr_treat_med_therapy_01,For how many days: Transfer into a prone position (lying face down on your stomach) for extended periods of time,,Y
ncipr_treat_med_therapy_02,For how many days: Admission to ICU or High Dependency Unit,,Y
ncipr_treat_med_therapy_03,For how many days: Oxygen Therapy,,Y
ncipr_treat_med_therapy_04,For how many days: Non-invasive Ventilation (such as continuous positive airway pressure/CPAP/BiPAP),,Y
ncipr_treat_med_therapy_05,"For how many days: Invasive ventilation (Tracheostomy, Intubation)",,Y
ncipr_treat_med_therapy_06,For how many days: Prolonged cardiac and respiratory support (Extracorporeal support),,Y
ncipr_treat_med_therapy_07,For how many days: IV fluids,,Y
ncipr_treat_med_therapy_08,How many times: Convalescent plasma (blood plasma taken from people who have recovered from COVID-19 and may have antibodies),,Y
ncipr_treat_med_therapy_09,How many times: Renal replacement therapy (RRT) or dialysis?,,Y
ncipr_treat_med_therapy_10,How many times: Chest X-ray,,Y
ncipr_treat_med_therapy_11,"How many times: Other kind of imaging such as Ultrasound, MRI, CT-Scan",,Y
ncipr_treat_med_therapy_other,Please specify other:,,Y
ncipr_treat_med_therapy_other_times,How many times: Other,,Y
ncipr_treat_med_therapy_10_infil,Were infiltrates present? (Chest X-Ray),,Y
ncipr_treat_prescriptions,Which medications have you been prescribed to treat your COVID-related illness? (check all) ,,Y
ncipr_treat_prescriptions_01_days,How many days did you take: Hydroxychloroquine (Plaquenil),,Y
ncipr_treat_prescriptions_02_days,How many days did you take: Antibiotic (such as Azithromycin),,Y
ncipr_treat_prescriptions_03_days,How many days did you take: Remdesivir or other anti-viral,,Y
ncipr_treat_prescriptions_04_days,"How many days did you take: Immunosuppressive medication (such as Tocilizumab, Azathioprine)",,Y
ncipr_treat_prescriptions_05_days,"How many days did you take: Anti-inflammatory corticosteroid (such as Dexamethesone, Prednisone, Hydrocortisone, Interferon beta-1a)",,Y
ncipr_treat_prescriptions_06_days,How many days did you take: Cardiovascular drug (such as Inotropes/vasopressors),,Y
